# step time kinetic potential total_energy com_x com_y rms_radius
330 3.3000000000000003 445467.22140887362 -781892.47183445178 -336425.25042557815 -0.055772421809874344 0.085789063686059278 24.0634860675972
340 3.3999999999999999 445731.35513195739 -781105.98569270992 -335374.63056075253 -0.05783528783204693 0.086292569555691909 24.823582199979679
350 3.5 447303.0825719565 -777871.29908370902 -330568.21651175251 -0.059898153854219954 0.086796075425325289 25.582171900502644
360 3.6000000000000001 441910.56031019066 -766813.62909850455 -324903.06878831389 -0.061961019876392617 0.087299581294958586 26.340429935383998
370 3.7000000000000002 429213.55559550785 -749245.82129581377 -320032.26570030593 -0.064023885898564989 0.087803087164590524 27.098174782082602
380 3.8000000000000003 409576.62011603359 -723687.85903552605 -314111.23891949246 -0.066086751920738582 0.08830659303422439 27.853932673198432
390 3.8999999999999999 402677.57749890222 -713846.73806415312 -311169.1605652509 -0.068149617942910731 0.088810098903856202 28.606025590829734
400 4 403650.08945332357 -713598.56769676576 -309948.47824344219 -0.07021248396508431 0.089313604773489527 29.354199876706566
410 4.0999999999999996 408532.11359325878 -715688.79940430052 -307156.68581104174 -0.072275349987256904 0.089817110643122408 30.099083580907877
420 4.2000000000000002 404134.63942340703 -706366.83717734599 -302232.19775393896 -0.074338216009429844 0.090320616512754068 30.841842502700462
430 4.2999999999999998 410814.73707684228 -708183.32350143406 -297368.58642459178 -0.076401082031602618 0.090824122382387282 31.582893797617487
440 4.4000000000000004 431415.48975355824 -722897.54022373771 -291482.05047017947 -0.078463948053774782 0.091327628252021495 32.323796744597892
450 4.5 429363.34405691788 -717058.74852743791 -287695.40447052004 -0.080526814075948847 0.091831134121654848 33.067040059099121
460 4.6000000000000005 423165.38691824075 -707373.71344345179 -284208.32652521104 -0.082589680098121246 0.092334639991284911 33.813034974258734
470 4.7000000000000002 403932.42085293744 -684888.26345156657 -280955.84259862913 -0.084652546120293715 0.092838145860919943 34.560938566972546
480 4.7999999999999998 389745.08639524365 -669699.06550760311 -279953.97911235946 -0.086715412142465975 0.09334165173055145 35.308622453612671
490 4.9000000000000004 396874.04324066819 -676779.63778245985 -279905.59454179165 -0.088778278164640095 0.093845157600183762 36.055183590570415
500 5 404546.27000310319 -679121.64982870058 -274575.3798255974 -0.090841144186812453 0.094348663469817115 36.801540717704718
510 5.1000000000000005 389649.05783273466 -659176.86732390686 -269527.8094911722 -0.092904010208986906 0.094852169339451092 37.548626886689057
