# step time kinetic potential total_energy com_x com_y rms_radius
0 0 433.70684631530162 -124659.69869125834 -124225.99184494304 -0.11835189975421828 0.053819058839033242 7.9863792886256251
10 0.10000000000000001 4322.8618215535844 -128758.52653846081 -124435.66471690722 -0.11991379469012814 0.053166352277590478 7.9234974502678455
20 0.20000000000000001 11329.052240440129 -135893.78081873039 -124564.72857829026 -0.12147568962603821 0.052513645716147528 7.7452553046040924
30 0.29999999999999999 19388.438825355868 -144028.13398320443 -124639.69515784856 -0.12303758456194808 0.051860939154704314 7.4519658320528084
40 0.40000000000000002 32148.646343197932 -157044.11579459009 -124895.46945139216 -0.12459947949785839 0.051208232593261391 7.0394617908426342
50 0.5 49025.625863196103 -174033.84105269026 -125008.21518949416 -0.12616137443376821 0.050555526031818621 6.5018921471171547
60 0.59999999999999998 69053.292847061472 -194252.57887619673 -125199.28602913526 -0.12772326936967796 0.049902819470375503 5.828462643743598
70 0.70000000000000007 106660.33145973382 -233054.79695460465 -126394.46549487083 -0.12928516430558804 0.049250112908932435 4.9993374845247258
80 0.80000000000000004 187952.11965598891 -314010.4204466209 -126058.300790632 -0.13084705924149806 0.04859740634748938 4.003021920240748
90 0.90000000000000002 264788.53102417506 -391776.71004832274 -126988.17902414768 -0.13240895417740803 0.047944699786046464 2.882210180833185
100 1 433399.00854374364 -563795.36005802127 -130396.35151427763 -0.13397084911331789 0.047291993224603569 1.8362876969669244
110 1.1000000000000001 431462.38520077639 -526877.81128141179 -95415.4260806354 -0.13553274404922805 0.046639286663160404 1.9750429520432398
120 1.2 241397.4074051365 -343416.29376595386 -102018.88636081736 -0.1370946389851381 0.0459865801017173 3.0892226137671215
130 1.3 159571.51761333059 -263867.98785823211 -104296.47024490152 -0.13865653392104821 0.045333873540274322 4.1822390361910982
140 1.4000000000000001 120419.84057893675 -225673.80611345507 -105253.96553451831 -0.14021842885695843 0.044681166978831163 5.1371764202736738
150 1.5 102739.6847203974 -209071.24690544105 -106331.56218504364 -0.1417803237928684 0.044028460417388192 5.9671176677742421
160 1.6000000000000001 99185.685633125482 -205833.02615736274 -106647.34052423725 -0.14334221872877842 0.043375753855945248 6.6987267520768716
